index,data_type,data_name,count,label,probability
299,mapping_type_static,hodlers,24,2914,0.0
300,uint8,decimals,2941,2139,0.0
301,uint256,largestPenis,4,-1,0.0
302,uint256,withdrawDate,5,-1,0.0
303,address,largestPenisOwner,4,-1,0.0
304,uint256,priceIncrease,1,-1,0.0
305,uint256,redeemedCards,1,-1,0.0
306,user_define_contract,cardContract,1,-1,0.0
307,uint256,soldCards,1,-1,0.0
308,mapping_type_static,blackList,115,1471,0.0
309,uint8,isOpened,4,-1,0.0
310,mapping_type_static,AccountBalance,6,17,0.0
311,address,addr,23,1059,0.0
312,uint256,RESERVE_SUPPLY,8,666,0.0
313,address,King,4,-1,0.0
314,uint8,mintable,8,3949,0.0
315,bool,closed,68,1782,0.0
316,uint8,distributionFinished,774,2266,0.0
317,uint256,tokensPerEth,921,5622,0.0
318,uint256,last_completed_migration,6079,3436,0.0
319,address,licenseSalesContractAddress,2,-1,0.0
320,address,apiRegistryContractAddress,2,-1,0.0
321,address,apiCallsContractAddress,2,-1,0.0
322,address,registryContractAddress,2,-1,0.0
323,uint256,saleFee,4,-1,0.0
324,uint256,tokenReward,15,5540,0.0
325,address,relayContractAddress,5,-1,0.0
326,user_define_contract,tokenContractAddress,25,5462,0.0
327,address,Caller,5,-1,0.0
328,mapping_type_static,Balance,476,88,0.0
329,address,Owner,518,590,0.0
330,bool,transfersEnabled,276,5948,0.0
331,uint256,MAXIMUM_SUPPLY,2,-1,0.0
332,bool,destroyEnabled,13,2202,0.0
333,mapping_type_static,cronaddOf,7,1972,0.0
334,mapping_type_static,cronoutOf,7,1973,0.0
335,uint256,onceOuttime,7,4148,0.0
336,uint256,onceoutTimePer,7,4150,0.0
337,mapping_type_static,canuseOf,3,-1,0.0
338,uint256,sysPer,10,5284,0.0
339,uint256,onceAddTime,10,4147,0.0
340,uint256,sysPrice,7,5285,0.0
341,address,owner_,106,4251,0.0
342,address,logic_,5,-1,0.0
343,address,exchange_,8,2500,0.0
344,uint256,challengeEndTime,8,1710,0.0
345,mapping_type_static,donorBalances,8,2293,0.0
346,uint256,challengeSafetyHatchTime2,8,1715,0.0
347,address,contractOwner,391,1894,0.0
348,uint256,challengeSafetyHatchTime1,8,1714,0.0
349,bool,isEventFinalized,5,-1,0.0
350,bool,unlockOnNo,6,6006,0.0
351,bool,hasChallengeAccomplished,8,2863,0.0
352,array_type_dynamic,npoAddresses,8,4082,0.0
353,mapping_type_static,npoRatios,8,4083,0.0
354,uint256,makerFee,7,3652,0.0
355,bool,balanceOf,44,1378,0.0
356,uint256,donorCount,8,2294,0.0
357,uint256,questionId,11,4632,0.0
358,address,burnAddress,39,1549,0.0
359,uint256,tokensToMint,10,5638,0.0
360,mapping_type_static,notify,3,-1,0.0
361,user_define_contract,registry,265,4755,0.0
362,uint8,canBurn,1,-1,0.0
363,address,cbAddress,9,1685,0.0
364,uint256,Price,141,643,0.0
365,uint256,DefaultDonation,1,-1,0.0
366,uint256,fifty_two_weeks,2569,2592,0.0
367,user_define_contract,controller,98,1929,0.0
368,bool,allowIssua,15,1213,0.0
369,bool,allowBack,15,1208,0.0
370,uint8,currency,5,-1,0.0
371,uint256,total,202,5650,0.0
372,uint256,fee,250,2547,0.0
373,address,buyer,83,1595,0.0
374,uint256,payDate,5,-1,0.0
375,uint256,id,13,3004,0.0
376,address,seller,165,5023,0.0
377,address,feeAddress,53,2553,0.0
378,uint256,units,42,5997,0.0
379,uint256,validUntil,5,-1,0.0
380,string,title,9,5427,0.0
381,string,tokenFallbackData,3,-1,0.0
382,string,deliveryId,1,-1,0.0
383,string,question,482,4628,0.0
384,bool,lockAll,37,3514,0.0
385,mapping_type_static,frozens,78,2710,0.0
386,bool,transferEnabled,459,5925,0.0
387,bool,plockFlag,29,4414,0.0
388,uint256,index,42,3027,0.0
389,mapping_type_static,KeyPurpose,1,-1,0.0
390,string,tokenDescription,2,-1,0.0
391,string,tokenName,15,5517,0.0
392,string,tokenSymbol,9,5563,0.0
393,address,singularDTVToken,8,5088,0.0
394,mapping_type_static,owed,5,-1,0.0
395,mapping_type_static,rewardAtTimeOfWithdraw,2,-1,0.0
396,uint256,totalReward,11,5794,0.0
397,user_define_contract,singularDTVFund,6,5087,0.0
398,array_type_dynamic,Alerters,118,49,0.0
399,address,pendingAdmin,142,4335,0.0
400,array_type_dynamic,Operators,133,584,0.0
401,mapping_type_static,reserveFeeToWallet,9,4825,0.0
402,mapping_type_static,reserveFeeToBurn,9,4824,0.0
403,address,taxWallet,4,-1,0.0
404,uint256,taxFeeBps,4,-1,0.0
405,user_define_contract,kyberNetwork,18,3363,0.0
406,uint256,kncPerEthRatePrecision,2,-1,0.0
407,user_define_contract,knc,12,3356,0.0
408,mapping_type_static,reserveFeesInBps,9,4826,0.0
409,mapping_type_static,walletFeesInBps,9,6179,0.0
410,mapping_type_static,reserveKNCWallet,9,4827,0.0
411,mapping_type_static,feePayedPerReserve,4,-1,0.0
412,uint256,quantityFactor,13,4622,0.0
413,uint256,worstCaseRateFactorInBps,5,-1,0.0
414,address,gubberment,5,-1,0.0
415,array_type_dynamic,numberOfTreasuryOfficials,5,-1,0.0
416,address,newGubberment,5,-1,0.0
417,uint256,currentTokenBalance,5,-1,0.0
418,uint256,totalPilfered,5,-1,0.0
419,uint256,totalBribery,4,-1,0.0
420,uint256,coinSentToEther,46,1798,0.0
421,mapping_type_static,payments,141,4317,0.0
422,bool,stopped,896,5229,0.0
423,uint256,etherReceived,33,2463,0.0
424,user_define_contract,coin,71,1791,0.0
425,address,multisigEther,46,4010,0.0
426,uint8,crowdsaleClosed,169,1993,0.0
427,bool,proofSet,3,-1,0.0
428,uint256,ethartArtReward,2,-1,0.0
429,uint256,editionSize,3,-1,0.0
430,address,lowestAskAddress,4,-1,0.0
431,mapping_type_static,piecesOwned,4,-1,0.0
432,uint8,pieceWanted,4,-1,0.0
433,address,referrer,6,4724,0.0
434,uint256,activationTime,15,1047,0.0
435,address,highestBidAddress,4,-1,0.0
436,uint256,highestBidTime,4,-1,0.0
437,uint256,highestBidPrice,4,-1,0.0
438,uint256,lowestAskPrice,4,-1,0.0
439,bool,pieceForSale,2,-1,0.0
440,uint256,lowestAskTime,4,-1,0.0
441,string,proofLink,4,-1,0.0
442,uint256,ethartArtAwarded,2,-1,0.0
443,uint256,ownerCommission,4,-1,0.0
444,uint256,ethartRevenueReward,2,-1,0.0
445,uint256,referrerReward,2,-1,0.0
446,uint256,timeout,25,5423,0.0
447,uint256,feesSeperateFromBalanceApproximately,6,2589,0.0
448,array_type_dynamic,totalParticipants,8,5771,0.0
449,array_type_static,participantDetails,4,-1,0.0
450,mapping_type_static,spentAllowance,117,5131,0.0
451,mapping_type_static,approvedWithdrawAddresses,25,1288,0.0
452,bool,tradeEnabled,35,5896,0.0
453,address,kyberNetwork,66,3363,0.0
454,mapping_type_static,DestQty,25,282,0.0
455,address,sanityRatesContract,17,4972,0.0
456,user_define_contract,conversionRatesContract,17,1938,0.0
457,uint256,kncPerETHRate,7,3357,0.0
458,mapping_type_static,userCategory,10,6060,0.0
459,mapping_type_static,categoryCap,6,1682,0.0
460,uint256,weiPerSgd,6,6209,0.0
461,uint256,minSlippageFactorInBps,8,3877,0.0
462,uint256,totalUnreleasedTokens,12,5845,0.0
463,mapping_type_static,allocateAgents,14,1196,0.0
464,user_define_contract,TokenAddress,29,796,0.0
465,uint8,State,33,754,0.0
466,address,finalizeAgent,13,2600,0.0
467,mapping_type_static,investedAmountOf,113,3089,0.0
468,uint256,weiRefunded,71,6215,0.0
469,uint256,loadedRefund,34,3498,0.0
470,bool,requireCustomerId,19,4811,0.0
471,mapping_type_static,tokenAmountOf,79,5443,0.0
472,uint256,weiCap,19,6200,0.0
473,user_define_contract,pricingStrategy,45,4536,0.0
474,uint256,whitelistBonusPercentage,1,-1,0.0
475,uint256,whitelistPrincipleLockPercentage,1,-1,0.0
476,uint256,whitelistPrincipleLockPeriod,1,-1,0.0
477,uint256,endsAt,76,2371,0.0
478,uint256,ownerTestValue,17,4243,0.0
479,address,multisigWallet,60,4012,0.0
480,uint256,lastTimeOfNewCredit,2,-1,0.0
481,address,corruptElite,2,-1,0.0
482,uint256,profitFromCrash,1,-1,0.0
483,array_type_static,totalDebt,1,-1,0.0
484,uint8,round,8,4892,0.0
485,user_define_contract,wrappedContract,7,6300,0.0
486,user_define_contract,feeBurnerContract,6,2557,0.0
487,uint256,feeSharingBps,6,2577,0.0
488,array_type_dynamic,FeeSharingWallets,6,342,0.0
489,uint8,etherSplit,1,-1,0.0
490,uint256,feeMake,119,2561,0.0
491,address,feeAccount,233,2548,0.0
492,uint256,feeTake,131,2578,0.0
493,mapping_type_static,factory,1,-1,0.0
494,mapping_type_static,whitelist,746,6234,0.0
495,mapping_type_static,mycontracts,1,-1,0.0
496,uint32,Price,5,-1,0.0
497,address,asset,5,-1,0.0
498,address,trustee,31,5961,0.0
499,address,ethAddr,24,2404,0.0
500,uint8,resolved,2,-1,0.0
501,uint256,outcome,9,4204,0.0
502,address,yesToken,1,-1,0.0
503,address,noToken,1,-1,0.0
504,uint256,close_time,4,-1,0.0
505,uint256,last_offer_id,17,3437,0.0
506,address,multiAsset,1,-1,0.0
507,address,CurrentPlayer,2,-1,0.0
508,uint256,PlayBlockNumber,2,-1,0.0
509,uint256,CurrentBet,2,-1,0.0
510,uint256,totalEth,21,5715,0.0
511,mapping_type_static,preparedBurnAmounts,2,-1,0.0
512,mapping_type_static,preparedBurnHashes,2,-1,0.0
513,user_define_contract,broker,18,1539,0.0
514,user_define_contract,bomb,1,-1,0.0
515,user_define_contract,nuke,1,-1,0.0
516,bool,distributionFinished,823,2266,0.0
517,uint256,tokenPerETH,77,5524,0.0
518,uint256,totalRemaining,673,5790,0.0
519,uint256,valueToGive,64,6096,0.0
520,mapping_type_static,blacklist,737,1472,0.0
521,mapping_type_static,isOperator,130,3230,0.0
522,mapping_type_static,isMinter,3068,3224,0.0
523,bool,sellsTokens,19,5029,0.0
524,user_define_contract,asset,42,1303,0.0
525,mapping_type_static,registry,12,4755,0.0
526,uint256,tierBudget,12,5395,0.0
527,bytes32,hashPass,27,2881,0.0
528,uint8,transfers,3,-1,0.0
529,mapping_type_static,admins,265,1114,0.0
530,uint256,cost1token,22,1948,0.0
531,mapping_type_static,sellTotalOf,4,-1,0.0
532,mapping_type_static,sellPriceOf,4,-1,0.0
533,mapping_type_static,sellTypeOf,4,-1,0.0
534,bool,transfer,226,5915,0.0
535,uint256,fundingEndBlock,384,2741,0.0
536,uint256,unlockingBlock,1,-1,0.0
537,address,founders,15,2646,0.0
538,uint256,locked_allocation,1,-1,0.0
539,mapping_type_static,VersionFor,29,879,0.0
540,address,PendingVersion,32,617,0.0
541,uint256,PendingVersionTimestamp,32,618,0.0
542,user_define_contract,LatestVersion,54,466,0.0
543,user_define_contract,init,66,3041,0.0
544,uint256,etoken2Symbol,14,2479,0.0
545,address,minter,387,3954,0.0
546,address,founder,280,2640,0.0
547,uint256,maxTotalSupply,100,3769,0.0
548,uint256,baseTokenPrice,9,1431,0.0
549,address,latpToken,1,-1,0.0
550,mapping_type_static,investments,34,3101,0.0
551,address,transferTo,1,-1,0.0
552,uint256,numcallsinternal,2,-1,0.0
553,uint256,numcalls,3,-1,0.0
554,uint256,numfails,2,-1,0.0
555,bool,lockdown,3,-1,0.0
556,mapping_type_static,allowanceFromProxy,1,-1,0.0
557,address,alliesContract,1,-1,0.0
558,address,coinageContract,1,-1,0.0
559,address,meltingContract,1,-1,0.0
560,address,dataContract,12,2114,0.0
561,address,burningAdress,1,-1,0.0
562,address,proxyContract,2,-1,0.0
563,uint256,totalGoldSupply,1,-1,0.0
564,uint256,numsuccesses,1,-1,0.0
565,array_type_dynamic,services,5,-1,0.0
566,mapping_type_static,ids,5,-1,0.0
567,mapping_type_static,coinBalanceOf,60,1794,0.0
568,uint256,totalDeposits,12,5699,0.0
569,user_define_contract,daiAddr,11,2097,0.0
570,uint256,adminCount,96,1099,0.0
571,uint256,requiredSignatures,95,4815,0.0
572,uint256,devCount,93,2209,0.0
573,uint256,requiredDevSignatures,91,4814,0.0
574,address,marketAddress,10,3672,0.0
575,bool,market2018TokenCreated,2,-1,0.0
576,uint256,minedTokenStartTime,2,-1,0.0
577,mapping_type_static,minedToken,2,-1,0.0
578,uint256,CurrentYearMinedTokenCap,2,-1,0.0
579,uint256,firstYearMinedTokenCap,2,-1,0.0
580,address,teamAddress,53,5316,0.0
581,bool,team2018TokenCreated,3,-1,0.0
582,bool,team2019TokenCreated,3,-1,0.0
583,address,taxAddress,2,-1,0.0
584,bool,taxTokenCreated,1,-1,0.0
585,address,operationAddress,3,-1,0.0
586,bool,operationTokenCreated,3,-1,0.0
587,uint256,privateToken,4,-1,0.0
588,uint256,privateTokenCap,3,-1,0.0
589,bool,market2021TokenCreated,2,-1,0.0
590,bool,market2020TokenCreated,2,-1,0.0
591,bool,market2019TokenCreated,2,-1,0.0
592,uint256,marketToken2019,2,-1,0.0
593,uint256,teamToken2018,3,-1,0.0
594,uint256,teamToken2019,3,-1,0.0
595,uint256,marketToken2018,2,-1,0.0
596,uint256,taxToken,1,-1,0.0
597,uint256,operationToken,3,-1,0.0
598,uint256,marketToken2021,2,-1,0.0
599,uint256,marketToken2020,2,-1,0.0
600,uint256,amountRaised,1840,1258,0.0
601,uint256,bonus,131,1490,0.0
602,uint256,goal,335,2821,0.0
603,user_define_contract,vault,279,6100,0.0
604,uint256,tokensMinted,184,5617,0.0
605,bool,isCrowdsaleOver,2,-1,0.0
606,uint8,capReached,6,1663,0.0
607,mapping_type_static,isManager,106,3216,0.0
608,mapping_type_static,isWhitelisted,282,3296,0.0
609,uint256,CurrentPrice,17,201,0.0
610,address,CurrentTokenOwner,1,-1,0.0
611,mapping_type_static,checkprevowner,1,-1,0.0
612,mapping_type_static,totalInvestedPerAddress,1,-1,0.0
613,uint256,maxContributionInWei,1,-1,0.0
614,mapping_type_static,released,366,4782,0.0
615,uint256,cliff,331,1778,0.0
616,uint256,duration,405,2313,0.0
617,mapping_type_static,revoked,313,4863,0.0
618,bool,revocable,332,4862,0.0
619,mapping_type_static,issued,28,3315,0.0
620,address,allower,25,1236,0.0
621,uint256,issuedCount,25,3316,0.0
622,bool,crowdsaleFinished,81,2000,0.0
623,uint256,selfdropvalue,23,5010,0.0
624,array_type_dynamic,hugeetherinvest,23,2944,0.0
625,bool,SendETC,2,-1,0.0
626,address,CallbackAddress,1,-1,0.0
627,address,ContractAddress,21,172,0.0
628,uint256,GasPrice,2,-1,0.0
629,uint256,ExecPrice,1,-1,0.0
630,uint256,MinimumGasLimit,1,-1,0.0
631,uint256,SeedPrice,1,-1,0.0
632,uint256,Available,5,-1,0.0
633,address,recipient,58,4696,0.0
634,uint256,birthday,2,-1,0.0
635,mapping_type_static,_publisher,1,-1,0.0
636,address,hammer,30,2852,0.0
637,uint256,buildingCostWei,70,1545,0.0
638,uint128,,1073,-1,0.0
